ctgov,cause,dist,parameter,est,se
NCT00274014,Protocol Violation,gengamma,mu,9.272e+00,5.132e+00
NCT00274014,Protocol Violation,gengamma,sigma,2.250e+00,1.563e-01
NCT00274014,Protocol Violation,gengamma,Q,-6.174e+00,6.895e+00
NCT00274014,Voluntary Withdrawal,gengamma,mu,1.073e+01,2.052e+00
NCT00274014,Voluntary Withdrawal,gengamma,sigma,1.844e+00,3.832e-01
NCT00274014,Voluntary Withdrawal,gengamma,Q,-2.041e+00,2.454e+00
NCT00274053,Adverse Event,gengamma,mu,8.616e+00,1.288e+00
NCT00274053,Adverse Event,gengamma,sigma,1.511e+00,2.639e-01
NCT00274053,Adverse Event,gengamma,Q,-1.773e+00,1.648e+00
NCT00274053,Other/Miscellaneous,gengamma,mu,6.884e+00,2.592e+00
NCT00274053,Other/Miscellaneous,gengamma,sigma,2.072e+00,2.488e-01
NCT00274053,Other/Miscellaneous,gengamma,Q,-9.272e+00,5.713e+00
NCT00274053,Protocol Violation,gengamma,mu,5.365e+00,2.802e+00
NCT00274053,Protocol Violation,gengamma,sigma,1.657e+00,4.965e-01
NCT00274053,Protocol Violation,gengamma,Q,-1.038e+01,9.030e+00
NCT00274053,Voluntary Withdrawal,gengamma,mu,1.191e+01,1.543e+00
NCT00274053,Voluntary Withdrawal,gengamma,sigma,1.575e+00,9.521e-01
NCT00274053,Voluntary Withdrawal,gengamma,Q,-5.432e-01,2.003e+00
NCT00274079,Adverse Event,gengamma,mu,8.270e+00,8.752e-01
NCT00274079,Adverse Event,gengamma,sigma,1.384e+00,6.512e-01
NCT00274079,Adverse Event,gengamma,Q,-8.108e-01,1.965e+00
NCT00274547,Adverse Event,gengamma,mu,8.300e+00,2.214e-01
NCT00274547,Adverse Event,gengamma,sigma,1.120e+00,2.188e-01
NCT00274547,Adverse Event,gengamma,Q,-9.882e-02,4.272e-01
NCT00274547,Lost to Follow-up,gengamma,mu,2.280e+02,1.936e-02
NCT00274547,Lost to Follow-up,gengamma,sigma,5.393e+00,1.714e+00
NCT00274547,Lost to Follow-up,gengamma,Q,-3.121e+00,9.152e+00
NCT00274547,Other/Miscellaneous,gengamma,mu,7.386e+01,1.335e+00
NCT00274547,Other/Miscellaneous,gengamma,sigma,8.833e-01,4.581e-04
NCT00274547,Other/Miscellaneous,gengamma,Q,2.613e+01,4.382e+00
NCT00274547,Protocol Violation,gengamma,mu,5.686e+00,6.126e-02
NCT00274547,Protocol Violation,gengamma,sigma,-3.720e+00,1.371e-01
NCT00274547,Protocol Violation,gengamma,Q,7.501e+01,1.828e-03
NCT00274547,Voluntary Withdrawal,gengamma,mu,9.965e+00,2.037e+00
NCT00274547,Voluntary Withdrawal,gengamma,sigma,2.018e+00,2.119e-01
NCT00274547,Voluntary Withdrawal,gengamma,Q,-3.155e+00,2.325e+00
NCT00274560,Adverse Event,gengamma,mu,9.313e+00,7.924e-01
NCT00274560,Adverse Event,gengamma,sigma,1.534e+00,6.550e-01
NCT00274560,Adverse Event,gengamma,Q,-7.892e-01,1.861e+00
NCT00274560,Voluntary Withdrawal,gengamma,mu,4.718e+00,1.979e-01
NCT00274560,Voluntary Withdrawal,gengamma,sigma,-5.244e+00,8.773e+00
NCT00274560,Voluntary Withdrawal,gengamma,Q,2.254e+02,1.979e+03
NCT00274573,Adverse Event,gengamma,mu,5.474e+00,7.370e-01
NCT00274573,Adverse Event,gengamma,sigma,1.601e+00,5.492e-02
NCT00274573,Adverse Event,gengamma,Q,-3.034e+00,7.334e-01
NCT00274573,Other/Miscellaneous,gengamma,mu,8.948e+00,1.094e+00
NCT00274573,Other/Miscellaneous,gengamma,sigma,-1.926e-01,3.407e+00
NCT00274573,Other/Miscellaneous,gengamma,Q,1.515e+00,5.158e+00
NCT00274573,Protocol Violation,gengamma,mu,7.453e+00,3.167e+00
NCT00274573,Protocol Violation,gengamma,sigma,2.291e+00,1.818e-01
NCT00274573,Protocol Violation,gengamma,Q,-9.776e+00,7.687e+00
NCT00274573,Voluntary Withdrawal,gengamma,mu,6.837e+00,2.471e+00
NCT00274573,Voluntary Withdrawal,gengamma,sigma,2.225e+00,1.557e-01
NCT00274573,Voluntary Withdrawal,gengamma,Q,-9.127e+00,5.204e+00
NCT00274599,Adverse Event,gengamma,mu,5.022e+00,1.585e+00
NCT00274599,Adverse Event,gengamma,sigma,1.760e+00,2.078e-01
NCT00274599,Adverse Event,gengamma,Q,-8.388e+00,3.739e+00
NCT00274599,Lack of Efficacy,gengamma,mu,7.511e+01,4.105e-03
NCT00274599,Lack of Efficacy,gengamma,sigma,3.488e+00,2.737e-01
NCT00274599,Lack of Efficacy,gengamma,Q,-1.236e-01,5.616e-01
NCT00274599,Lost to Follow-up,gengamma,mu,2.390e+02,1.493e-03
NCT00274599,Lost to Follow-up,gengamma,sigma,5.043e+00,3.567e-01
NCT00274599,Lost to Follow-up,gengamma,Q,-1.134e+00,1.113e+00
NCT00274599,Other/Miscellaneous,gengamma,mu,4.108e+00,3.893e+00
NCT00274599,Other/Miscellaneous,gengamma,sigma,2.733e+00,4.701e-01
NCT00274599,Other/Miscellaneous,gengamma,Q,-2.152e+01,1.266e+01
NCT00274599,Voluntary Withdrawal,gengamma,mu,7.679e+00,1.360e+00
NCT00274599,Voluntary Withdrawal,gengamma,sigma,-4.877e-01,5.174e+00
NCT00274599,Voluntary Withdrawal,gengamma,Q,1.425e+00,7.376e+00
NCT00274612,Adverse Event,gengamma,mu,8.069e+00,6.090e-01
NCT00274612,Adverse Event,gengamma,sigma,-4.007e-01,1.309e-01
NCT00274612,Adverse Event,gengamma,Q,1.827e+00,6.318e-02
NCT00274612,Lack of Efficacy,gengamma,mu,3.888e+01,8.573e-03
NCT00274612,Lack of Efficacy,gengamma,sigma,3.046e+00,2.732e-01
NCT00274612,Lack of Efficacy,gengamma,Q,-8.337e-01,7.614e-01
NCT00274612,Other/Miscellaneous,gengamma,mu,7.239e+00,3.293e+00
NCT00274612,Other/Miscellaneous,gengamma,sigma,1.896e+00,2.009e-01
NCT00274612,Other/Miscellaneous,gengamma,Q,-6.366e+00,6.981e+00
NCT00277264,Adverse Event,gengamma,mu,9.326e+00,3.615e+01
NCT00277264,Adverse Event,gengamma,sigma,-3.548e-01,1.116e+02
NCT00277264,Adverse Event,gengamma,Q,2.724e+00,3.040e+02
NCT00277264,Other/Miscellaneous,gengamma,mu,1.447e+01,8.803e+00
NCT00277264,Other/Miscellaneous,gengamma,sigma,1.405e+00,2.526e+00
NCT00277264,Other/Miscellaneous,gengamma,Q,-8.683e-03,3.009e+00
NCT00277264,Protocol Violation,gengamma,mu,1.137e+01,5.912e+00
NCT00277264,Protocol Violation,gengamma,sigma,2.567e+00,2.534e-01
NCT00277264,Protocol Violation,gengamma,Q,-6.509e+00,7.224e+00
NCT00277264,Voluntary Withdrawal,gengamma,mu,1.015e+01,1.239e+00
NCT00277264,Voluntary Withdrawal,gengamma,sigma,1.760e+00,2.625e-01
NCT00277264,Voluntary Withdrawal,gengamma,Q,-1.486e+00,1.321e+00
NCT00321854,Adverse Event,gengamma,mu,8.180e+00,2.852e-01
NCT00321854,Adverse Event,gengamma,sigma,8.613e-01,3.285e-01
NCT00321854,Adverse Event,gengamma,Q,-8.252e-02,6.561e-01
NCT00321854,Lack of Efficacy,gengamma,mu,7.951e+00,2.037e+00
NCT00321854,Lack of Efficacy,gengamma,sigma,1.583e+00,1.697e-01
NCT00321854,Lack of Efficacy,gengamma,Q,-4.251e+00,3.497e+00
NCT00321854,Protocol Violation,gengamma,mu,1.145e+01,3.770e+00
NCT00321854,Protocol Violation,gengamma,sigma,2.006e+00,5.966e-01
NCT00321854,Protocol Violation,gengamma,Q,-3.117e+00,5.187e+00
NCT00321854,Voluntary Withdrawal,gengamma,mu,8.512e+00,2.690e+00
NCT00321854,Voluntary Withdrawal,gengamma,sigma,2.049e+00,1.604e-01
NCT00321854,Voluntary Withdrawal,gengamma,Q,-5.039e+00,3.248e+00
NCT00384930,Adverse Event,gengamma,mu,5.718e+00,1.699e+00
NCT00384930,Adverse Event,gengamma,sigma,1.705e+00,1.421e-01
NCT00384930,Adverse Event,gengamma,Q,-6.182e+00,3.268e+00
NCT00384930,Other/Miscellaneous,gengamma,mu,1.059e+01,5.057e+00
NCT00384930,Other/Miscellaneous,gengamma,sigma,2.433e+00,2.719e-01
NCT00384930,Other/Miscellaneous,gengamma,Q,-4.547e+00,5.048e+00
NCT00384930,PI/Sponsor Decision,gengamma,mu,5.264e+00,1.096e-01
NCT00384930,PI/Sponsor Decision,gengamma,sigma,-5.654e+00,2.835e+00
NCT00384930,PI/Sponsor Decision,gengamma,Q,3.864e+02,1.096e+03
NCT00384930,Protocol Violation,gengamma,mu,2.423e+02,1.116e-03
NCT00384930,Protocol Violation,gengamma,sigma,5.107e+00,2.713e-01
NCT00384930,Protocol Violation,gengamma,Q,-1.322e+00,8.960e-01
NCT00384930,Voluntary Withdrawal,gengamma,mu,8.150e+00,2.445e+00
NCT00384930,Voluntary Withdrawal,gengamma,sigma,1.819e+00,2.564e-01
NCT00384930,Voluntary Withdrawal,gengamma,Q,-3.365e+00,3.390e+00
NCT00402233,Adverse Event,gengamma,mu,2.923e+00,4.779e-01
NCT00402233,Adverse Event,gengamma,sigma,1.307e-01,6.946e-01
NCT00402233,Adverse Event,gengamma,Q,-1.788e+01,1.338e+01
NCT00466167,Adverse Event,gengamma,mu,1.030e+01,3.450e+00
NCT00466167,Adverse Event,gengamma,sigma,2.166e+00,2.424e-01
NCT00466167,Adverse Event,gengamma,Q,-2.966e+00,2.818e+00
NCT00466167,Voluntary Withdrawal,gengamma,mu,9.435e+00,1.474e+00
NCT00466167,Voluntary Withdrawal,gengamma,sigma,-9.600e-02,3.899e+00
NCT00466167,Voluntary Withdrawal,gengamma,Q,1.461e+00,5.699e+00
NCT00472199,Adverse Event,gengamma,mu,7.422e+00,1.880e+00
NCT00472199,Adverse Event,gengamma,sigma,1.713e+00,1.563e-01
NCT00472199,Adverse Event,gengamma,Q,-1.993e+00,1.525e+00
NCT00472199,Lack of Efficacy,gengamma,mu,3.174e+00,9.534e-01
NCT00472199,Lack of Efficacy,gengamma,sigma,4.966e-01,8.400e-01
NCT00472199,Lack of Efficacy,gengamma,Q,-1.462e+01,1.363e+01
NCT00472199,Voluntary Withdrawal,gengamma,mu,6.904e+00,4.409e+00
NCT00472199,Voluntary Withdrawal,gengamma,sigma,2.165e+00,2.838e-01
NCT00472199,Voluntary Withdrawal,gengamma,Q,-7.208e+00,6.461e+00
NCT00479401,Adverse Event,gengamma,mu,1.006e+01,1.330e+00
NCT00479401,Adverse Event,gengamma,sigma,1.731e+00,3.951e-01
NCT00479401,Adverse Event,gengamma,Q,-1.138e+00,1.575e+00
NCT00479401,Voluntary Withdrawal,gengamma,mu,1.124e+01,1.752e+00
NCT00479401,Voluntary Withdrawal,gengamma,sigma,1.409e+00,1.035e+00
NCT00479401,Voluntary Withdrawal,gengamma,Q,-2.807e-01,1.840e+00
NCT00525512,Adverse Event,gengamma,mu,8.428e+00,3.923e-01
NCT00525512,Adverse Event,gengamma,sigma,-4.950e-01,2.723e+00
NCT00525512,Adverse Event,gengamma,Q,2.026e+00,5.519e+00
NCT00525512,Lack of Efficacy,gengamma,mu,4.152e+00,1.825e-01
NCT00525512,Lack of Efficacy,gengamma,sigma,1.522e-01,7.855e-01
NCT00525512,Lack of Efficacy,gengamma,Q,-5.249e+01,4.014e+01
NCT00525512,Other/Miscellaneous,gengamma,mu,4.137e+00,5.211e-02
NCT00525512,Other/Miscellaneous,gengamma,sigma,6.726e-03,2.005e-01
NCT00525512,Other/Miscellaneous,gengamma,Q,-4.296e+01,4.936e-03
NCT00525512,Voluntary Withdrawal,gengamma,mu,1.430e+01,1.838e+00
NCT00525512,Voluntary Withdrawal,gengamma,sigma,2.025e+00,8.541e-01
NCT00525512,Voluntary Withdrawal,gengamma,Q,-1.011e+00,2.733e+00
NCT00563381,Adverse Event,gengamma,mu,1.038e+01,2.901e-01
NCT00563381,Adverse Event,gengamma,sigma,1.588e+00,1.364e-01
NCT00563381,Adverse Event,gengamma,Q,-1.035e+00,4.750e-01
NCT00563381,Lack of Efficacy,gengamma,mu,6.130e+00,2.311e-02
NCT00563381,Lack of Efficacy,gengamma,sigma,-4.169e+00,2.105e+00
NCT00563381,Lack of Efficacy,gengamma,Q,1.098e+02,2.311e+02
NCT00563381,Lost to Follow-up,gengamma,mu,2.113e+02,1.062e-03
NCT00563381,Lost to Follow-up,gengamma,sigma,5.083e+00,2.546e-01
NCT00563381,Lost to Follow-up,gengamma,Q,-2.232e+00,1.089e+00
NCT00563381,Other/Miscellaneous,gengamma,mu,1.631e+02,9.728e+01
NCT00563381,Other/Miscellaneous,gengamma,sigma,4.484e+00,6.247e-01
NCT00563381,Other/Miscellaneous,gengamma,Q,-7.373e-01,2.336e-01
NCT00563381,Protocol Violation,gengamma,mu,1.667e+01,1.651e+00
NCT00563381,Protocol Violation,gengamma,sigma,2.454e+00,3.163e-01
NCT00563381,Protocol Violation,gengamma,Q,-2.323e+00,1.765e+00
NCT00563381,Voluntary Withdrawal,gengamma,mu,1.134e+01,8.054e-01
NCT00563381,Voluntary Withdrawal,gengamma,sigma,2.101e+00,8.439e-02
NCT00563381,Voluntary Withdrawal,gengamma,Q,-2.358e+00,6.760e-01
NCT00601250,Adverse Event,gengamma,mu,1.142e+02,1.955e-03
NCT00601250,Adverse Event,gengamma,sigma,4.119e+00,2.102e-01
NCT00601250,Adverse Event,gengamma,Q,-4.989e-01,5.171e-01
NCT00601250,Other/Miscellaneous,gengamma,mu,2.010e+02,1.568e-03
NCT00601250,Other/Miscellaneous,gengamma,sigma,4.703e+00,3.036e-01
NCT00601250,Other/Miscellaneous,gengamma,Q,-6.116e-01,7.803e-01
NCT00601250,Voluntary Withdrawal,gengamma,mu,5.532e+00,8.867e-04
NCT00601250,Voluntary Withdrawal,gengamma,sigma,-3.663e+00,8.880e-04
NCT00601250,Voluntary Withdrawal,gengamma,Q,9.492e+01,8.882e-04
NCT00602472,Adverse Event,gengamma,mu,9.695e+00,3.511e+00
NCT00602472,Adverse Event,gengamma,sigma,-4.377e-01,2.450e+01
NCT00602472,Adverse Event,gengamma,Q,2.095e+00,5.132e+01
NCT00602472,Protocol Violation,gengamma,mu,5.424e+00,2.368e-03
NCT00602472,Protocol Violation,gengamma,sigma,-4.597e+00,2.368e-03
NCT00602472,Protocol Violation,gengamma,Q,1.203e+02,2.368e+01
NCT00602472,Voluntary Withdrawal,gengamma,mu,7.306e+00,2.378e+00
NCT00602472,Voluntary Withdrawal,gengamma,sigma,1.951e+00,1.709e-01
NCT00602472,Voluntary Withdrawal,gengamma,Q,-7.946e+00,5.734e+00
NCT00622284,Adverse Event,gengamma,mu,1.060e+01,9.528e-01
NCT00622284,Adverse Event,gengamma,sigma,1.741e+00,1.849e-01
NCT00622284,Adverse Event,gengamma,Q,-1.374e+00,9.504e-01
NCT00622284,Lack of Efficacy,gengamma,mu,1.070e+01,5.652e-01
NCT00622284,Lack of Efficacy,gengamma,sigma,1.188e+00,7.112e-01
NCT00622284,Lack of Efficacy,gengamma,Q,-7.342e-01,1.713e+00
NCT00622284,Lost to Follow-up,gengamma,mu,1.260e+01,5.332e+00
NCT00622284,Lost to Follow-up,gengamma,sigma,2.388e+00,3.724e-01
NCT00622284,Lost to Follow-up,gengamma,Q,-5.139e+00,7.045e+00
NCT00622284,Other/Miscellaneous,gengamma,mu,1.043e+01,2.248e+00
NCT00622284,Other/Miscellaneous,gengamma,sigma,2.019e+00,1.491e-01
NCT00622284,Other/Miscellaneous,gengamma,Q,-3.833e+00,2.585e+00
NCT00622284,Protocol Violation,gengamma,mu,1.408e+01,9.332e+00
NCT00622284,Protocol Violation,gengamma,sigma,2.597e+00,5.785e-01
NCT00622284,Protocol Violation,gengamma,Q,-5.504e+00,1.146e+01
NCT00622284,Voluntary Withdrawal,gengamma,mu,1.492e+01,2.273e+00
NCT00622284,Voluntary Withdrawal,gengamma,sigma,1.637e+00,7.926e-01
NCT00622284,Voluntary Withdrawal,gengamma,Q,-2.358e-01,1.249e+00
NCT00641043,Adverse Event,gengamma,mu,1.184e+01,2.207e+00
NCT00641043,Adverse Event,gengamma,sigma,1.044e-02,3.090e-01
NCT00641043,Adverse Event,gengamma,Q,1.960e+00,3.556e-02
NCT00654381,Adverse Event,gengamma,mu,6.827e+00,3.234e+00
NCT00654381,Adverse Event,gengamma,sigma,-2.125e+00,6.262e+01
NCT00654381,Adverse Event,gengamma,Q,2.618e+00,1.639e+02
NCT00734474,Adverse Event,gengamma,mu,7.944e+00,1.173e-01
NCT00734474,Adverse Event,gengamma,sigma,-4.248e-01,9.060e-01
NCT00734474,Adverse Event,gengamma,Q,1.759e+00,1.617e+00
NCT00734474,Lack of Efficacy,gengamma,mu,1.058e+01,4.882e+00
NCT00734474,Lack of Efficacy,gengamma,sigma,2.661e+00,2.069e-01
NCT00734474,Lack of Efficacy,gengamma,Q,-9.645e+00,7.692e+00
NCT00734474,Lost to Follow-up,gengamma,mu,1.212e+01,1.757e+00
NCT00734474,Lost to Follow-up,gengamma,sigma,1.805e+00,5.876e-01
NCT00734474,Lost to Follow-up,gengamma,Q,-1.930e+00,2.934e+00
NCT00734474,Other/Miscellaneous,gengamma,mu,1.500e+01,6.523e+00
NCT00734474,Other/Miscellaneous,gengamma,sigma,2.497e+00,6.812e-01
NCT00734474,Other/Miscellaneous,gengamma,Q,-3.929e+00,7.331e+00
NCT00734474,PI/Sponsor Decision,gengamma,mu,6.837e+00,3.051e-03
NCT00734474,PI/Sponsor Decision,gengamma,sigma,-4.567e+00,3.051e-03
NCT00734474,PI/Sponsor Decision,gengamma,Q,1.804e+02,3.051e+01
NCT00734474,Protocol Violation,gengamma,mu,7.339e+01,4.909e-03
NCT00734474,Protocol Violation,gengamma,sigma,6.451e-01,3.320e-01
NCT00734474,Protocol Violation,gengamma,Q,4.309e+01,7.705e-03
NCT00734474,Voluntary Withdrawal,gengamma,mu,1.001e+01,7.937e-01
NCT00734474,Voluntary Withdrawal,gengamma,sigma,1.497e+00,2.691e-01
NCT00734474,Voluntary Withdrawal,gengamma,Q,-1.145e+00,1.122e+00
NCT00740051,Lost to Follow-up,gengamma,mu,4.059e+00,2.343e-01
NCT00740051,Lost to Follow-up,gengamma,sigma,1.121e-01,7.968e-01
NCT00740051,Lost to Follow-up,gengamma,Q,-3.262e+01,2.410e+01
NCT00740051,Voluntary Withdrawal,gengamma,mu,9.689e+00,1.084e+00
NCT00740051,Voluntary Withdrawal,gengamma,sigma,-6.329e-01,2.631e-01
NCT00740051,Voluntary Withdrawal,gengamma,Q,2.832e+00,3.149e-02
NCT00772538,Adverse Event,gengamma,mu,1.051e+01,1.866e+00
NCT00772538,Adverse Event,gengamma,sigma,-1.166e-01,7.196e+00
NCT00772538,Adverse Event,gengamma,Q,1.571e+00,1.130e+01
NCT00772538,Other/Miscellaneous,gengamma,mu,1.242e+01,2.297e+00
NCT00772538,Other/Miscellaneous,gengamma,sigma,2.367e-01,7.770e+00
NCT00772538,Other/Miscellaneous,gengamma,Q,1.621e+00,1.259e+01
NCT00772538,Voluntary Withdrawal,gengamma,mu,7.639e+00,3.163e+00
NCT00772538,Voluntary Withdrawal,gengamma,sigma,2.218e+00,2.750e-01
NCT00772538,Voluntary Withdrawal,gengamma,Q,-8.908e+00,5.692e+00
NCT00776984,Adverse Event,gengamma,mu,1.116e+01,1.518e+00
NCT00776984,Adverse Event,gengamma,sigma,1.458e+00,7.332e-01
NCT00776984,Adverse Event,gengamma,Q,-1.189e+00,2.155e+00
NCT00776984,Other/Miscellaneous,gengamma,mu,9.097e+00,2.738e+00
NCT00776984,Other/Miscellaneous,gengamma,sigma,-3.002e-01,8.476e+00
NCT00776984,Other/Miscellaneous,gengamma,Q,1.375e+00,1.170e+01
NCT00776984,Voluntary Withdrawal,gengamma,mu,8.634e+00,2.699e+00
NCT00776984,Voluntary Withdrawal,gengamma,sigma,1.651e+00,2.785e-01
NCT00776984,Voluntary Withdrawal,gengamma,Q,-3.520e+00,4.222e+00
NCT00782210,Adverse Event,gengamma,mu,9.403e+00,9.460e-01
NCT00782210,Adverse Event,gengamma,sigma,8.843e-01,7.833e-01
NCT00782210,Adverse Event,gengamma,Q,2.196e-01,1.085e+00
NCT00782210,Lack of Efficacy,gengamma,mu,1.476e+01,2.936e+00
NCT00782210,Lack of Efficacy,gengamma,sigma,2.170e+00,9.944e-01
NCT00782210,Lack of Efficacy,gengamma,Q,-1.615e+00,4.081e+00
NCT00782210,Voluntary Withdrawal,gengamma,mu,1.240e+01,2.995e+00
NCT00782210,Voluntary Withdrawal,gengamma,sigma,2.112e+00,4.665e-01
NCT00782210,Voluntary Withdrawal,gengamma,Q,-1.942e+00,2.759e+00
NCT00782509,Adverse Event,gengamma,mu,1.014e+01,1.026e+00
NCT00782509,Adverse Event,gengamma,sigma,1.082e+00,6.854e-01
NCT00782509,Adverse Event,gengamma,Q,9.927e-02,9.980e-01
NCT00782509,Lack of Efficacy,gengamma,mu,1.254e+01,1.518e+00
NCT00782509,Lack of Efficacy,gengamma,sigma,1.747e+00,1.401e+00
NCT00782509,Lack of Efficacy,gengamma,Q,-1.238e+00,4.446e+00
NCT00782509,Other/Miscellaneous,gengamma,mu,2.557e+00,2.758e+00
NCT00782509,Other/Miscellaneous,gengamma,sigma,2.100e+00,1.015e+00
NCT00782509,Other/Miscellaneous,gengamma,Q,-3.482e+01,3.530e+01
NCT00782509,Voluntary Withdrawal,gengamma,mu,9.478e+00,5.061e+00
NCT00782509,Voluntary Withdrawal,gengamma,sigma,2.312e+00,2.019e-01
NCT00782509,Voluntary Withdrawal,gengamma,Q,-6.470e+00,6.855e+00
NCT00793624,Adverse Event,gengamma,mu,1.117e+01,6.923e-01
NCT00793624,Adverse Event,gengamma,sigma,1.532e+00,5.071e-01
NCT00793624,Adverse Event,gengamma,Q,-4.696e-01,1.119e+00
NCT00793624,Lack of Efficacy,gengamma,mu,8.266e+00,5.370e+00
NCT00793624,Lack of Efficacy,gengamma,sigma,2.761e+00,2.821e-01
NCT00793624,Lack of Efficacy,gengamma,Q,-1.200e+01,8.547e+00
NCT00793624,Other/Miscellaneous,gengamma,mu,5.970e+00,2.506e-03
NCT00793624,Other/Miscellaneous,gengamma,sigma,-4.856e+00,2.506e-03
NCT00793624,Other/Miscellaneous,gengamma,Q,1.026e+02,2.506e+01
NCT00793624,Protocol Violation,gengamma,mu,6.479e+01,1.578e-03
NCT00793624,Protocol Violation,gengamma,sigma,3.898e+00,3.045e-01
NCT00793624,Protocol Violation,gengamma,Q,-1.901e+00,1.187e+00
NCT00793624,Voluntary Withdrawal,gengamma,mu,8.998e+00,1.872e+00
NCT00793624,Voluntary Withdrawal,gengamma,sigma,1.923e+00,1.295e-01
NCT00793624,Voluntary Withdrawal,gengamma,Q,-3.290e+00,1.881e+00
NCT00798161,Adverse Event,gengamma,mu,9.170e+00,4.007e+00
NCT00798161,Adverse Event,gengamma,sigma,2.352e+00,1.556e-01
NCT00798161,Adverse Event,gengamma,Q,-5.363e+00,4.137e+00
NCT00798161,Lack of Efficacy,gengamma,mu,5.036e+01,4.258e+00
NCT00798161,Lack of Efficacy,gengamma,sigma,4.952e-01,6.023e-04
NCT00798161,Lack of Efficacy,gengamma,Q,2.687e+01,4.260e+00
NCT00798161,Lost to Follow-up,gengamma,mu,9.254e+00,1.119e+00
NCT00798161,Lost to Follow-up,gengamma,sigma,1.279e+00,7.670e-01
NCT00798161,Lost to Follow-up,gengamma,Q,-1.567e+00,2.920e+00
NCT00798161,Protocol Violation,gengamma,mu,1.435e+01,5.233e+00
NCT00798161,Protocol Violation,gengamma,sigma,2.442e+00,7.199e-01
NCT00798161,Protocol Violation,gengamma,Q,-3.021e+00,5.459e+00
NCT00798161,Voluntary Withdrawal,gengamma,mu,1.313e+01,1.597e+00
NCT00798161,Voluntary Withdrawal,gengamma,sigma,1.915e+00,1.099e+00
NCT00798161,Voluntary Withdrawal,gengamma,Q,-1.241e+00,3.444e+00
NCT00800683,Adverse Event,gengamma,mu,7.380e+00,2.096e+00
NCT00800683,Adverse Event,gengamma,sigma,1.280e+00,2.649e-01
NCT00800683,Adverse Event,gengamma,Q,-1.725e+00,2.467e+00
NCT00848081,Adverse Event,gengamma,mu,5.888e+00,3.051e+00
NCT00848081,Adverse Event,gengamma,sigma,1.903e+00,2.579e-01
NCT00848081,Adverse Event,gengamma,Q,-6.932e+00,5.575e+00
NCT00855582,Adverse Event,gengamma,mu,1.564e-01,4.161e-01
NCT00855582,Adverse Event,gengamma,sigma,8.794e-01,1.354e+00
NCT00855582,Adverse Event,gengamma,Q,-9.872e+01,1.303e+02
NCT00855582,Lack of Efficacy,gengamma,mu,9.378e+00,1.947e+00
NCT00855582,Lack of Efficacy,gengamma,sigma,1.708e+00,4.026e-01
NCT00855582,Lack of Efficacy,gengamma,Q,-2.413e+00,2.406e+00
NCT00855582,Other/Miscellaneous,gengamma,mu,2.777e+00,2.733e-01
NCT00855582,Other/Miscellaneous,gengamma,sigma,4.051e-01,7.190e-01
NCT00855582,Other/Miscellaneous,gengamma,Q,-4.378e+01,3.019e+01
NCT00855582,Protocol Violation,gengamma,mu,3.926e+01,7.650e-02
NCT00855582,Protocol Violation,gengamma,sigma,3.474e+00,7.146e-01
NCT00855582,Protocol Violation,gengamma,Q,-2.155e+00,3.045e+00
NCT00855582,Voluntary Withdrawal,gengamma,mu,5.373e+00,1.932e+00
NCT00855582,Voluntary Withdrawal,gengamma,sigma,1.928e+00,2.383e-01
NCT00855582,Voluntary Withdrawal,gengamma,Q,-9.859e+00,5.190e+00
NCT00861757,Adverse Event,gengamma,mu,2.649e+00,3.866e-01
NCT00861757,Adverse Event,gengamma,sigma,6.351e-01,8.008e-01
NCT00861757,Adverse Event,gengamma,Q,-4.256e+01,3.254e+01
NCT00861757,Voluntary Withdrawal,gengamma,mu,3.301e+00,9.736e-01
NCT00861757,Voluntary Withdrawal,gengamma,sigma,1.099e+00,8.086e-01
NCT00861757,Voluntary Withdrawal,gengamma,Q,-2.571e+01,2.044e+01
NCT00915772,Adverse Event,gengamma,mu,9.646e+00,1.397e+00
NCT00915772,Adverse Event,gengamma,sigma,7.679e-01,9.964e-01
NCT00915772,Adverse Event,gengamma,Q,2.821e-01,1.231e+00
NCT00915772,Lack of Efficacy,gengamma,mu,7.853e+00,5.710e-01
NCT00915772,Lack of Efficacy,gengamma,sigma,2.312e-01,8.175e-01
NCT00915772,Lack of Efficacy,gengamma,Q,-1.270e-01,1.263e+00
NCT00915772,Other/Miscellaneous,gengamma,mu,1.181e+01,3.770e+00
NCT00915772,Other/Miscellaneous,gengamma,sigma,1.942e+00,8.114e-01
NCT00915772,Other/Miscellaneous,gengamma,Q,-2.202e+00,5.043e+00
NCT00915772,Voluntary Withdrawal,gengamma,mu,1.111e+01,4.111e+00
NCT00915772,Voluntary Withdrawal,gengamma,sigma,2.685e-01,4.779e+00
NCT00915772,Voluntary Withdrawal,gengamma,Q,1.205e+00,5.842e+00
NCT00926289,Adverse Event,gengamma,mu,3.015e+00,1.114e+00
NCT00926289,Adverse Event,gengamma,sigma,1.739e+00,3.165e-01
NCT00926289,Adverse Event,gengamma,Q,-1.875e+01,7.659e+00
NCT00926289,Protocol Violation,gengamma,mu,1.044e+01,2.709e+00
NCT00926289,Protocol Violation,gengamma,sigma,1.448e+00,1.465e+00
NCT00926289,Protocol Violation,gengamma,Q,-5.894e-01,2.825e+00
NCT00954447,Adverse Event,gengamma,mu,1.077e+01,2.396e+00
NCT00954447,Adverse Event,gengamma,sigma,2.075e+00,1.973e-01
NCT00954447,Adverse Event,gengamma,Q,-3.404e+00,2.539e+00
